dataset,image_filename,image_path,mask_path,image_width,image_height,image_size_bytes,mask_size_bytes,has_mask,num_bounding_boxes,bounding_boxes,label,bbox_width,bbox_height
kvasir-seg,cju0qkwl35piu0993l0dewei2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0qkwl35piu0993l0dewei2.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0qkwl35piu0993l0dewei2.jpg,622,529,51229,14641,Yes,1,"polyp: [38,5,430,338]",polyp,622,529
kvasir-seg,cju0qoxqj9q6s0835b43399p4.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0qoxqj9q6s0835b43399p4.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0qoxqj9q6s0835b43399p4.jpg,1348,1070,117064,41779,Yes,1,"polyp: [194,284,913,1049]",polyp,1348,1070
kvasir-seg,cju0qx73cjw570799j4n5cjze.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0qx73cjw570799j4n5cjze.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0qx73cjw570799j4n5cjze.jpg,619,529,47209,17829,Yes,1,"polyp: [187,14,543,526]",polyp,619,529
kvasir-seg,cju0roawvklrq0799vmjorwfv.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0roawvklrq0799vmjorwfv.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0roawvklrq0799vmjorwfv.jpg,622,528,30256,13057,Yes,3,"polyp: [486,42,622,339]; polyp: [329,71,437,150]; polyp: [619,151,622,285]",polyp,622,528
kvasir-seg,cju0rx1idathl0835detmsp84.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0rx1idathl0835detmsp84.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0rx1idathl0835detmsp84.jpg,617,528,27512,11587,Yes,1,"polyp: [292,154,481,375]",polyp,617,528
kvasir-seg,cju0s2a9ekvms080138tjjpxr.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0s2a9ekvms080138tjjpxr.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0s2a9ekvms080138tjjpxr.jpg,626,547,39161,13103,Yes,1,"polyp: [379,57,626,431]",polyp,626,547
kvasir-seg,cju0s690hkp960855tjuaqvv0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0s690hkp960855tjuaqvv0.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0s690hkp960855tjuaqvv0.jpg,621,530,35370,9183,Yes,1,"polyp: [223,285,336,434]",polyp,621,530
kvasir-seg,cju0sr5ghl0nd08789uzf1raf.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0sr5ghl0nd08789uzf1raf.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0sr5ghl0nd08789uzf1raf.jpg,1214,1019,196193,38847,Yes,2,"polyp: [393,178,730,488]; polyp: [300,571,698,975]",polyp,1214,1019
kvasir-seg,cju0sxqiclckk08551ycbwhno.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0sxqiclckk08551ycbwhno.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0sxqiclckk08551ycbwhno.jpg,570,531,28647,9211,Yes,1,"polyp: [400,278,543,416]",polyp,570,531
kvasir-seg,cju0t4oil7vzk099370nun5h9.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/images/cju0t4oil7vzk099370nun5h9.jpg,/Users/ujjwalsinha/Gastrointestinal-Disease-Detection/dataset/kvasir-seg/masks/cju0t4oil7vzk099370nun5h9.jpg,622,530,36284,16040,Yes,1,"polyp: [203,115,573,526]",polyp,622,530
